betty,betty,Some, extra, rows, are, added, at, the , topSome, extra, rows, are, added, at, the , topSome, extra, rows, are, added, at, the , top
ford,ford,Some, extra, rows, are, added, at, the , top,,,,,,,,,,,,,,
R,R,Some, extra, rows, are, added, at, the , top,,,,,,,,,,,,,,
likes,likes,Some, extra, rows, are, added, at, the , top,,,,,,,,,,,,,,
to ,to ,"Scan Session:  ""2-11-20""",,,,,,,,,,,,,,,,,,,,,
sing ,sing ,Start Time:  2/11/2020 8:21:00 AM,,,,,,,,,,,,,,,,,,,,,
bobbalu,bobbalu,,,,,,,,,,,,,,,,,,,,,,
BobbaLu,BobbaLu,Assignment:,,SG1 d,SG2 d,SG3 g,,,,,,,,,,,,,,,,,
Bobba-Lu,Bobba-Lu,Reduction Method: ,,Strain,Strain,Strain,,,,,,,,,,,,,,,,,
betty,betty,,,,,,,,,,,,,,,,,,,,,,
ford,ford,ID,Seconds Elapsed,[1]  Strain,[2]  Strain,[3]  Strain,,,,,,,,,,,,,,,,,
R,R,1,1,11,21,31,,,,,,,,,,,,,,,,,
likes,likes,2,2,12,22,32,,,,,,,,,,,,,,,,,
to ,to ,3,3,13,213,313,,,,,,,,,,,,,,,,,
sing ,sing ,4,4.1,141,241,341,,,,,,,,,,,,,,,,,
bobbalu,bobbalu,5,4.5,145,245,345,,,,,,,,,,,,,,,,,
BobbaLu,BobbaLu,6,4.9,149,249,36,,,,,,,,,,,,,,,,,
Bobba-Lu,Bobba-Lu,7,5.1,151,251,351,,,,,,,,,,,,,,,,,
betty,betty,8,5.2,152,252,352,,,,,,,,,,,,,,,,,
ford,ford,9,5.3,153,253,353,,,,,,,,,,,,,,,,,
R,R,10,6.3,163,263,363,,,,,,,,,,,,,,,,,
likes,likes,11,7,17,27,37,,,,,,,,,,,,,,,,,
to ,to ,12,8,18,28,38,,,,,,,,,,,,,,,,,
sing ,sing ,13,9,19,29,39,,,,,,,,,,,,,,,,,
bobbalu,bobbalu,14,10,100,200,300,,,,,,,,,,,,,,,,,
BobbaLu,BobbaLu,15,11,110,210,310,,,,,,,,,,,,,,,,,
Bobba-Lu,Bobba-Lu,16,12,112,212,312,,,,,,,,,,,,,,,,,
,,17,13,113,213,313,,,,,,,,,,,,,,,,,
,,18,14,114,214,314,,,,,,,,,,,,,,,,,
,,19,15,115,215,315,,,,,,,,,,,,,,,,,
,,20,16,116,216,316,,,,,,,,,,,,,,,,,
