betty,betty,Some, extra, rows, are, added, at, the , topSome, extra, rows, are, added, at, the , topSome, extra, rows, are, added, at, the , top
ford,ford,Some, extra, rows, are, added, at, the , top,,,,,,,,,,,,,,
R,R,Some, extra, rows, are, added, at, the , top,,,,,,,,,,,,,,
likes,likes,Some, extra, rows, are, added, at, the , top,,,,,,,,,,,,,,
to ,to ,"Scan Session:  ""2-11-20""",,,,,,,,,,,,,,,,,,,,,
sing ,sing ,Start Time:  10/25/2017 10:42:35 PM,,,,,,,,,,,,,,,,,,,,,
bobbalu,bobbalu,,,,,,,,,,,,,,,,,,,,,,
BobbaLu,BobbaLu,Assignment:,,SG-100-OD,SG-100-ID,SG-220-OD,SG-340-OD,SG-340-ID,EX-1890 on EX-1_70-ID,EX-1889 on EX-2_70-OD,EX-1888 on EX-3_310-ID,EX-1887 on EX-4_310-OD,,,,,,,,,,,
Bobba-Lu,Bobba-Lu,Reduction Method: ,,Strain,Strain,Strain,Strain,Strain,mm,mm,mm,mm,,,,,,,,,,,
betty,betty,,,,,,,,,,,,,,,,,,,,,,
ford,ford,ID,Seconds Elapsed,[1]  Strain,[2]  Strain,[3]  Strain,[5]  Strain,[6]  Strain,[9]  mm,[10]  mm,[11]  mm,[12]  mm,,,,,,,,,,,
R,R,1,3.1,1771,2242,3281,4306,5507,-6.883,-7.445,-8.123,-9.456,,,,,,,,,,,
likes,likes,2,4.1,1772,2243,3282,4307,5508,-6.884,-7.446,-8.124,-9.457,,,,,,,,,,,
to ,to ,3,Billiam,1773,2244,3283,4308,5509,-6.885,-7.447,-8.125,-9.458,,,,,,,,,,,
sing ,sing ,4,6.1,1774,2245,3284,4309,5510,-6.886,-7.448,-8.126,-9.459,,,,,,,,,,,
bobbalu,bobbalu,5,7.1,1775,2246,3285,4310,5511,-6.887,-7.449,-8.127,-9.46,,,,,,,,,,,
BobbaLu,BobbaLu,6,8.1,1776,2247,3286,4311,5512,-6.888,-7.45,-8.128,-9.461,,,,,,,,,,,
Bobba-Lu,Bobba-Lu,7,9.1,1777,2248,3287,4312,5513,-6.889,-7.451,-8.129,-9.462,,,,,,,,,,,
